NAME      ,NATIONAL,KANTO,JOHTO,HOENN,TYPE 1  ,TYPE 2  ,SPECIES NAME        ,HEIGHT,WEIGHT,ABILITY 1    ,ABILITY 2    ,HIDDEN ABILITY,HP,ATK,DEF,SPATK,SPDEF,SPEED,CATCH,FRIENDLY,EXP GIVEN,GROWTH,EGG 1        ,EGG 2     ,GENDER,EGG CYCLES,BABY,HP ,ATK,DEF,SPATK,SPDEF,SPEED,TOTAL,BODY              ,COLOR ,DESCRIPTION,FEMALE SPRITE
Metapod   ,11      ,11   ,25   ,     ,Bug     ,        ,Cocoon Pokémon      ,0.70  ,9.90  ,Shed Skin    ,             ,              ,0 ,0  ,2  ,0    ,0    ,0    ,120  ,70      ,72       ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,50 ,20 ,55 ,25   ,25   ,30   ,205  ,Serpentine        ,Green ,           ,FALSE
Butterfree,12      ,12   ,26   ,     ,Bug     ,Flying  ,Butterfly Pokémon   ,1.10  ,32.00 ,Compound Eyes,             ,Tinted Lens   ,0 ,0  ,0  ,2    ,1    ,0    ,45   ,70      ,173      ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,60 ,45 ,50 ,90   ,80   ,70   ,395  ,Polypterygotus    ,White ,           ,TRUE
Weedle    ,13      ,13   ,27   ,     ,Bug     ,Poison  ,Hairy Bug Pokémon   ,0.30  ,3.20  ,Shield Dust  ,             ,Run Away      ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,39       ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,40 ,35 ,30 ,20   ,20   ,50   ,195  ,Serpentine        ,Brown ,           ,FALSE
Kakuna    ,14      ,14   ,28   ,     ,Bug     ,Poison  ,Cocoon Pokémon      ,0.60  ,10.00 ,Shed Skin    ,             ,              ,0 ,0  ,2  ,0    ,0    ,0    ,120  ,70      ,72       ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,45 ,25 ,50 ,25   ,25   ,35   ,205  ,Serpentine        ,Yellow,           ,FALSE
Beedrill  ,15      ,15   ,29   ,     ,Bug     ,Poison  ,Poison Bee Pokémon  ,1.00  ,29.50 ,Swarm        ,             ,Sniper        ,0 ,2  ,0  ,0    ,1    ,0    ,45   ,70      ,173      ,MF    ,Bug          ,          ,0.5   ,10        ,0   ,65 ,90 ,40 ,45   ,80   ,75   ,395  ,Polypterygotus    ,Yellow,           ,FALSE
Pidgey    ,16      ,16   ,10   ,     ,Flying  ,Normal  ,Tiny Bird Pokémon   ,0.30  ,1.80  ,Keen Eye     ,Tangled Feet ,Big Pecks     ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,50       ,MS    ,Flying       ,          ,0.5   ,15        ,0   ,40 ,45 ,40 ,35   ,35   ,56   ,251  ,Diplopterygotus   ,Brown ,           ,FALSE
Pidgeotto ,17      ,17   ,11   ,     ,Flying  ,Normal  ,Bird Pokémon        ,1.10  ,30.00 ,Keen Eye     ,Tangled Feet ,Big Pecks     ,0 ,0  ,0  ,0    ,0    ,2    ,120  ,70      ,122      ,MS    ,Flying       ,          ,0.5   ,15        ,0   ,63 ,60 ,55 ,50   ,50   ,71   ,349  ,Diplopterygotus   ,Brown ,           ,FALSE
Pidgeot   ,18      ,18   ,12   ,     ,Flying  ,Normal  ,Bird Pokémon        ,1.50  ,39.50 ,Keen Eye     ,Tangled Feet ,Big Pecks     ,0 ,0  ,0  ,0    ,0    ,3    ,45   ,70      ,211      ,MS    ,Flying       ,          ,0.5   ,15        ,0   ,83 ,80 ,75 ,70   ,70   ,101  ,479  ,Diplopterygotus   ,Brown ,           ,FALSE
Rattata   ,19      ,19   ,17   ,     ,Normal  ,        ,Mouse Pokémon       ,0.30  ,3.50  ,Run Away     ,Guts         ,Hustle        ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,51       ,MF    ,Ground       ,          ,0.5   ,15        ,0   ,30 ,56 ,35 ,25   ,35   ,72   ,253  ,Quadruped         ,Purple,           ,TRUE
Raticate  ,20      ,20   ,18   ,     ,Normal  ,        ,Mouse Pokémon       ,0.70  ,18.50 ,Run Away     ,Guts         ,Hustle        ,0 ,0  ,0  ,0    ,0    ,2    ,127  ,70      ,145      ,MF    ,Ground       ,          ,0.5   ,15        ,0   ,55 ,81 ,60 ,50   ,70   ,97   ,413  ,Quadruped         ,Brown ,           ,TRUE
Spearow   ,21      ,21   ,13   ,     ,Flying  ,Normal  ,Tiny Bird Pokémon   ,0.30  ,2.00  ,Keen Eye     ,             ,Sniper        ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,52       ,MF    ,Flying       ,          ,0.5   ,15        ,0   ,40 ,60 ,30 ,31   ,31   ,70   ,262  ,Diplopterygotus   ,Brown ,           ,FALSE
Fearow    ,22      ,22   ,14   ,     ,Flying  ,Normal  ,Beak Pokémon        ,1.20  ,38.00 ,Keen Eye     ,             ,Sniper        ,0 ,0  ,0  ,0    ,0    ,2    ,90   ,70      ,155      ,MF    ,Flying       ,          ,0.5   ,15        ,0   ,65 ,90 ,65 ,61   ,61   ,100  ,442  ,Diplopterygotus   ,Brown ,           ,FALSE
Ekans     ,23      ,23   ,50   ,     ,Poison  ,        ,Snake Pokémon       ,2.00  ,6.90  ,Intimidate   ,Shed Skin    ,Unnerve       ,0 ,1  ,0  ,0    ,0    ,0    ,255  ,70      ,58       ,MF    ,Ground       ,Dragon    ,0.5   ,20        ,0   ,35 ,60 ,44 ,40   ,54   ,55   ,288  ,Serpentine        ,Purple,           ,FALSE
Arbok     ,24      ,24   ,51   ,     ,Poison  ,        ,Cobra Pokémon       ,3.50  ,65.00 ,Intimidate   ,Shed Skin    ,Unnerve       ,0 ,2  ,0  ,0    ,0    ,0    ,90   ,70      ,153      ,MF    ,Ground       ,Dragon    ,0.5   ,20        ,0   ,60 ,85 ,69 ,65   ,79   ,80   ,438  ,Serpentine        ,Purple,           ,FALSE
Pikachu   ,25      ,25   ,22   ,156  ,Electric,        ,Mouse Pokémon       ,0.40  ,6.00  ,Static       ,             ,Lightning Rod ,0 ,0  ,0  ,0    ,0    ,2    ,190  ,70      ,105      ,MF    ,Ground       ,Fairy     ,0.5   ,20        ,0   ,35 ,55 ,40 ,50   ,50   ,90   ,320  ,Quadruped         ,Yellow,           ,TRUE
Raichu    ,26      ,26   ,23   ,157  ,Electric,        ,Mouse Pokémon       ,0.80  ,30.00 ,Static       ,             ,Lightning Rod ,0 ,0  ,0  ,0    ,0    ,3    ,75   ,70      ,214      ,MF    ,Ground       ,Fairy     ,0.5   ,20        ,0   ,60 ,90 ,55 ,90   ,80   ,110  ,485  ,Androcaudal       ,Yellow,           ,TRUE
Sandshrew ,27      ,27   ,48   ,112  ,Ground  ,        ,Mouse Pokémon       ,0.60  ,12.00 ,Sand Veil    ,             ,Sand Rush     ,0 ,0  ,1  ,0    ,0    ,0    ,255  ,70      ,60       ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,50 ,75 ,85 ,20   ,30   ,40   ,300  ,Androcaudal       ,Yellow,           ,FALSE
Sandslash ,28      ,28   ,49   ,113  ,Ground  ,        ,Mouse Pokémon       ,1.00  ,29.50 ,Sand Veil    ,             ,Sand Rush     ,0 ,0  ,2  ,0    ,0    ,0    ,90   ,70      ,158      ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,75 ,100,110,45   ,55   ,65   ,450  ,Androcaudal       ,Yellow,           ,FALSE
Nidoran♀  ,29      ,29   ,     ,     ,Poison  ,        ,Poison Pin Pokémon  ,0.40  ,7.00  ,Poison Point ,Rivalry      ,Hustle        ,1 ,0  ,0  ,0    ,0    ,0    ,235  ,70      ,55       ,MS    ,Monster      ,Ground    ,0     ,20        ,0   ,55 ,47 ,52 ,40   ,40   ,41   ,275  ,Quadruped         ,Blue  ,           ,FALSE
Nidorina  ,30      ,30   ,96   ,     ,Poison  ,        ,Poison Pin Pokémon  ,0.80  ,20.00 ,Poison Point ,Rivalry      ,Hustle        ,2 ,0  ,0  ,0    ,0    ,0    ,120  ,70      ,128      ,MS    ,Undiscovered ,          ,0     ,20        ,0   ,70 ,62 ,67 ,55   ,55   ,56   ,365  ,Quadruped         ,Blue  ,           ,FALSE
Nidoqueen ,31      ,31   ,97   ,     ,Ground  ,Poison  ,Drill Pokémon       ,1.30  ,60.00 ,Poison Point ,Rivalry      ,Sheer Force   ,3 ,0  ,0  ,0    ,0    ,0    ,45   ,70      ,223      ,MS    ,Undiscovered ,          ,0     ,20        ,0   ,90 ,92 ,87 ,75   ,85   ,76   ,505  ,Androcaudal       ,Blue  ,           ,FALSE
Nidoran♂  ,32      ,32   ,     ,     ,Poison  ,        ,Poison Pin Pokémon  ,0.50  ,9.00  ,Poison Point ,Rivalry      ,Hustle        ,0 ,1  ,0  ,0    ,0    ,0    ,235  ,70      ,55       ,MS    ,Monster      ,Ground    ,1     ,20        ,0   ,46 ,57 ,40 ,40   ,40   ,50   ,273  ,Quadruped         ,Purple,           ,FALSE
Nidorino  ,33      ,33   ,99   ,     ,Poison  ,        ,Poison Pin Pokémon  ,0.90  ,19.50 ,Poison Point ,Rivalry      ,Hustle        ,0 ,2  ,0  ,0    ,0    ,0    ,120  ,70      ,128      ,MS    ,Monster      ,Ground    ,1     ,20        ,0   ,61 ,72 ,57 ,55   ,55   ,65   ,365  ,Quadruped         ,Purple,           ,FALSE
Nidoking  ,34      ,34   ,100  ,     ,Ground  ,Poison  ,Drill Pokémon       ,1.40  ,62.00 ,Poison Point ,Rivalry      ,Sheer Force   ,0 ,3  ,0  ,0    ,0    ,0    ,45   ,70      ,223      ,MS    ,Monster      ,Ground    ,1     ,20        ,0   ,81 ,102,77 ,85   ,75   ,85   ,505  ,Androcaudal       ,Purple,           ,FALSE
Clefairy  ,35      ,35   ,41   ,     ,Fairy   ,        ,Fairy Pokémon       ,0.60  ,7.50  ,Cute Charm   ,Magic Guard  ,Friend Guard  ,2 ,0  ,0  ,0    ,0    ,0    ,150  ,140     ,113      ,FA    ,Fairy        ,          ,0.25  ,20        ,0   ,70 ,45 ,48 ,60   ,65   ,35   ,323  ,Androcaudal       ,Pink  ,           ,FALSE
Clefable  ,36      ,36   ,42   ,     ,Fairy   ,        ,Fairy Pokémon       ,1.30  ,40.00 ,Cute Charm   ,Magic Guard  ,Unaware       ,3 ,0  ,0  ,0    ,0    ,0    ,25   ,140     ,213      ,FA    ,Fairy        ,          ,0.25  ,20        ,0   ,95 ,70 ,73 ,95   ,90   ,60   ,483  ,Androcaudal       ,Pink  ,           ,FALSE
Vulpix    ,37      ,37   ,125  ,153  ,Fire    ,        ,Fox Pokémon         ,0.60  ,9.90  ,Flash Fire   ,             ,Drought       ,0 ,0  ,0  ,0    ,0    ,1    ,190  ,70      ,60       ,MF    ,Ground       ,          ,0.25  ,20        ,0   ,38 ,41 ,40 ,50   ,65   ,65   ,299  ,Quadruped         ,Brown ,           ,FALSE
Ninetales ,38      ,38   ,126  ,154  ,Fire    ,        ,Fox Pokémon         ,1.10  ,19.90 ,Flash Fire   ,             ,Drought       ,0 ,0  ,0  ,0    ,1    ,1    ,75   ,70      ,177      ,MF    ,Ground       ,          ,0.25  ,20        ,0   ,73 ,76 ,75 ,81   ,100  ,100  ,505  ,Quadruped         ,Yellow,           ,FALSE
Jigglypuff,39      ,39   ,44   ,138  ,Fairy   ,Normal  ,Balloon Pokémon     ,0.50  ,5.50  ,Cute Charm   ,Competitive  ,Friend Guard  ,2 ,0  ,0  ,0    ,0    ,0    ,170  ,70      ,95       ,FA    ,Fairy        ,          ,0.25  ,20        ,0   ,115,45 ,20 ,45   ,25   ,20   ,270  ,Androform         ,Pink  ,           ,FALSE
Wigglytuff,40      ,40   ,45   ,139  ,Fairy   ,Normal  ,Balloon Pokémon     ,1.00  ,12.00 ,Cute Charm   ,Competitive  ,Frisk         ,3 ,0  ,0  ,0    ,0    ,0    ,50   ,70      ,191      ,FA    ,Fairy        ,          ,0.25  ,20        ,0   ,140,70 ,45 ,85   ,50   ,45   ,435  ,Androform         ,Pink  ,           ,FALSE
Zubat     ,41      ,41   ,37   ,63   ,Poison  ,Flying  ,Bat Pokémon         ,0.80  ,7.50  ,Inner Focus  ,             ,Infiltrator   ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,49       ,MF    ,Flying       ,          ,0.5   ,15        ,0   ,40 ,45 ,35 ,30   ,40   ,55   ,245  ,Diplopterygotus   ,Purple,           ,TRUE
Golbat    ,42      ,42   ,38   ,64   ,Poison  ,Flying  ,Bat Pokémon         ,1.60  ,55.00 ,Inner Focus  ,             ,Infiltrator   ,0 ,0  ,0  ,0    ,0    ,2    ,90   ,70      ,159      ,MF    ,Flying       ,          ,0.5   ,15        ,0   ,75 ,80 ,70 ,65   ,75   ,90   ,455  ,Diplopterygotus   ,Purple,           ,TRUE
Oddish    ,43      ,43   ,83   ,88   ,Grass   ,Poison  ,Weed Pokémon        ,0.50  ,5.40  ,Chlorophyll  ,             ,Run Away      ,0 ,0  ,0  ,1    ,0    ,0    ,255  ,70      ,64       ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,45 ,50 ,55 ,75   ,65   ,30   ,320  ,Asomaticcephalopod,Blue  ,           ,FALSE
Gloom     ,44      ,44   ,84   ,89   ,Grass   ,Poison  ,Weed Pokémon        ,0.80  ,8.60  ,Chlorophyll  ,             ,Stench        ,0 ,0  ,0  ,2    ,0    ,0    ,120  ,70      ,138      ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,60 ,65 ,70 ,85   ,75   ,40   ,395  ,Androform         ,Blue  ,           ,TRUE
Vileplume ,45      ,45   ,85   ,90   ,Grass   ,Poison  ,Flower Pokémon      ,1.20  ,18.60 ,Chlorophyll  ,             ,Effect Spore  ,0 ,0  ,0  ,3    ,0    ,0    ,45   ,70      ,216      ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,75 ,80 ,85 ,110  ,90   ,50   ,490  ,Androform         ,Red   ,           ,TRUE
Paras     ,46      ,46   ,70   ,     ,Grass   ,Bug     ,Mushroom Pokémon    ,0.30  ,5.40  ,Effect Spore ,Dry Skin     ,Damp          ,0 ,1  ,0  ,0    ,0    ,0    ,190  ,70      ,57       ,MF    ,Bug          ,Plant     ,0.5   ,20        ,0   ,35 ,70 ,55 ,45   ,55   ,25   ,285  ,Insectoid         ,Red   ,           ,FALSE
Parasect  ,47      ,47   ,71   ,     ,Grass   ,Bug     ,Mushroom Pokémon    ,1.00  ,29.50 ,Effect Spore ,Dry Skin     ,Damp          ,0 ,2  ,1  ,0    ,0    ,0    ,75   ,70      ,142      ,MF    ,Bug          ,Plant     ,0.5   ,20        ,0   ,60 ,95 ,80 ,60   ,80   ,30   ,405  ,Insectoid         ,Red   ,           ,FALSE
Venonat   ,48      ,48   ,108  ,     ,Bug     ,Poison  ,Insect Pokémon      ,1.00  ,30.00 ,Compound Eyes,Tinted Lens  ,Run Away      ,0 ,0  ,0  ,0    ,1    ,0    ,190  ,70      ,61       ,MF    ,Bug          ,          ,0.5   ,20        ,0   ,60 ,55 ,50 ,40   ,55   ,45   ,305  ,Androform         ,Purple,           ,FALSE
Venomoth  ,49      ,49   ,109  ,     ,Bug     ,Poison  ,Poison Moth Pokémon ,1.50  ,12.50 ,Shield Dust  ,Tinted Lens  ,Wonder Skin   ,0 ,0  ,0  ,1    ,0    ,1    ,75   ,70      ,158      ,MF    ,Bug          ,          ,0.5   ,20        ,0   ,70 ,65 ,60 ,90   ,75   ,90   ,450  ,Polypterygotus    ,Purple,           ,FALSE
Diglett   ,50      ,50   ,132  ,     ,Ground  ,        ,Mole Pokémon        ,0.20  ,0.80  ,Sand Veil    ,Arena Trap   ,Sand Force    ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,53       ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,10 ,55 ,25 ,35   ,45   ,95   ,265  ,Somatoid          ,Brown ,           ,FALSE
Dugtrio   ,51      ,51   ,133  ,     ,Ground  ,        ,Mole Pokémon        ,0.70  ,33.30 ,Sand Veil    ,Arena Trap   ,Sand Force    ,0 ,0  ,0  ,0    ,0    ,2    ,50   ,70      ,142      ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,35 ,80 ,50 ,50   ,70   ,120  ,405  ,Zooid             ,Brown ,           ,FALSE
Meowth    ,52      ,52   ,136  ,     ,Normal  ,        ,Scratch Cat Pokémon ,0.40  ,4.20  ,Pickup       ,Technician   ,Unnerve       ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,58       ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,40 ,45 ,35 ,40   ,40   ,90   ,290  ,Quadruped         ,Yellow,           ,FALSE
Persian   ,53      ,53   ,137  ,     ,Normal  ,        ,Classy Cat Pokémon  ,1.00  ,32.00 ,Limber       ,Technician   ,Unnerve       ,0 ,0  ,0  ,0    ,0    ,2    ,90   ,70      ,154      ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,65 ,70 ,60 ,65   ,65   ,115  ,440  ,Quadruped         ,Yellow,           ,FALSE
Psyduck   ,54      ,54   ,138  ,158  ,Water   ,        ,Duck Pokémon        ,0.80  ,19.60 ,Damp         ,Cloud Nine   ,Swift Swim    ,0 ,0  ,0  ,1    ,0    ,0    ,190  ,70      ,64       ,MF    ,Water1       ,Ground    ,0.5   ,20        ,0   ,50 ,52 ,48 ,65   ,50   ,55   ,320  ,Androcaudal       ,Yellow,           ,FALSE
Golduck   ,55      ,55   ,139  ,159  ,Water   ,        ,Duck Pokémon        ,1.70  ,76.60 ,Damp         ,Cloud Nine   ,Swift Swim    ,0 ,0  ,0  ,2    ,0    ,0    ,75   ,70      ,175      ,MF    ,Water1       ,Ground    ,0.5   ,20        ,0   ,80 ,82 ,78 ,95   ,80   ,85   ,500  ,Androcaudal       ,Blue  ,           ,FALSE
Mankey    ,56      ,56   ,134  ,     ,Fighting,        ,Pig Monkey Pokémon  ,0.50  ,28.00 ,Vital Spirit ,Anger Point  ,Defiant       ,0 ,1  ,0  ,0    ,0    ,0    ,190  ,70      ,61       ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,40 ,80 ,35 ,35   ,45   ,70   ,305  ,Androcaudal       ,Brown ,           ,FALSE
Primeape  ,57      ,57   ,135  ,     ,Fighting,        ,Pig Monkey Pokémon  ,1.00  ,32.00 ,Vital Spirit ,Anger Point  ,Defiant       ,0 ,2  ,0  ,0    ,0    ,0    ,75   ,70      ,159      ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,65 ,105,60 ,60   ,70   ,95   ,455  ,Androcaudal       ,Brown ,           ,FALSE
Growlithe ,58      ,58   ,127  ,     ,Fire    ,        ,Puppy Pokémon       ,0.70  ,19.00 ,Intimidate   ,Flash Fire   ,Justified     ,0 ,1  ,0  ,0    ,0    ,0    ,190  ,70      ,70       ,SL    ,Ground       ,          ,0.75  ,20        ,0   ,55 ,70 ,45 ,70   ,50   ,60   ,350  ,Quadruped         ,Brown ,           ,FALSE
Arcanine  ,59      ,59   ,128  ,     ,Fire    ,        ,Legendary Pokémon   ,1.90  ,155.00,Intimidate   ,Flash Fire   ,Justified     ,0 ,2  ,0  ,0    ,0    ,0    ,75   ,70      ,194      ,SL    ,Ground       ,          ,0.75  ,20        ,0   ,90 ,110,80 ,100  ,80   ,95   ,555  ,Quadruped         ,Brown ,           ,FALSE
Poliwag   ,60      ,60   ,72   ,     ,Water   ,        ,Tadpole Pokémon     ,0.60  ,12.40 ,Water Absorb ,Damp         ,Swift Swim    ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,60       ,MS    ,Water1       ,          ,0.5   ,20        ,0   ,40 ,50 ,40 ,40   ,40   ,90   ,300  ,Asomaticcephalopod,Blue  ,           ,FALSE
Poliwhirl ,61      ,61   ,73   ,     ,Water   ,        ,Tadpole Pokémon     ,1.00  ,20.00 ,Water Absorb ,Damp         ,Swift Swim    ,0 ,0  ,0  ,0    ,0    ,2    ,120  ,70      ,135      ,MS    ,Water1       ,          ,0.5   ,20        ,0   ,65 ,65 ,65 ,50   ,50   ,90   ,385  ,Androform         ,Blue  ,           ,FALSE
Poliwrath ,62      ,62   ,74   ,     ,Water   ,Fighting,Tadpole Pokémon     ,1.30  ,54.00 ,Water Absorb ,Damp         ,Swift Swim    ,0 ,0  ,3  ,0    ,0    ,0    ,45   ,70      ,225      ,MS    ,Water1       ,          ,0.5   ,20        ,0   ,90 ,95 ,95 ,70   ,90   ,70   ,510  ,Androform         ,Blue  ,           ,FALSE
Abra      ,63      ,63   ,89   ,39   ,Psychic ,        ,Psi Pokémon         ,0.90  ,19.50 ,Synchronize  ,Inner Focus  ,Magic Guard   ,0 ,0  ,0  ,1    ,0    ,0    ,200  ,70      ,62       ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,25 ,20 ,15 ,105  ,55   ,90   ,310  ,Androcaudal       ,Brown ,           ,FALSE
Kadabra   ,64      ,64   ,90   ,40   ,Psychic ,        ,Psi Pokémon         ,1.30  ,56.50 ,Synchronize  ,Inner Focus  ,Magic Guard   ,0 ,0  ,0  ,2    ,0    ,0    ,100  ,70      ,140      ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,40 ,35 ,30 ,120  ,70   ,105  ,400  ,Androcaudal       ,Brown ,           ,TRUE
Alakazam  ,65      ,65   ,91   ,41   ,Psychic ,        ,Psi Pokémon         ,1.50  ,48.00 ,Synchronize  ,Inner Focus  ,Magic Guard   ,0 ,0  ,0  ,3    ,0    ,0    ,50   ,70      ,221      ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,55 ,50 ,45 ,135  ,95   ,120  ,500  ,Androform         ,Brown ,           ,TRUE
Machop    ,66      ,66   ,140  ,73   ,Fighting,        ,Superpower Pokémon  ,0.80  ,19.50 ,Guts         ,No Guard     ,Steadfast     ,0 ,1  ,0  ,0    ,0    ,0    ,180  ,70      ,61       ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,70 ,80 ,50 ,35   ,35   ,35   ,305  ,Androcaudal       ,Gray  ,           ,FALSE
Machoke   ,67      ,67   ,141  ,74   ,Fighting,        ,Superpower Pokémon  ,1.50  ,70.50 ,Guts         ,No Guard     ,Steadfast     ,0 ,2  ,0  ,0    ,0    ,0    ,90   ,70      ,142      ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,80 ,100,70 ,50   ,60   ,45   ,405  ,Androform         ,Gray  ,           ,FALSE
Machamp   ,68      ,68   ,142  ,75   ,Fighting,        ,Superpower Pokémon  ,1.60  ,130.00,Guts         ,No Guard     ,Steadfast     ,0 ,3  ,0  ,0    ,0    ,0    ,45   ,70      ,227      ,MS    ,Human-like   ,          ,0.75  ,20        ,0   ,90 ,130,80 ,65   ,85   ,55   ,505  ,Androform         ,Gray  ,           ,FALSE
Bellsprout,69      ,69   ,64   ,     ,Grass   ,Poison  ,Flower Pokémon      ,0.70  ,4.00  ,Chlorophyll  ,             ,Gluttony      ,0 ,1  ,0  ,0    ,0    ,0    ,255  ,70      ,60       ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,50 ,75 ,35 ,70   ,30   ,40   ,300  ,Androform         ,Green ,           ,FALSE
