GAME_ID,REAL_ID,INTERNAL NAME ,NAME          ,GENERATION,TYPE    ,CATEGORY,CONTEST  ,PP,POWER,ACCURACY,TARGET      ,PRIORITY,FLAGS      ,PRIMARY FUNCTION,FLAVOR TEXT                     ,EFFECT 1   ,VAL 1,EFFECT 2,VAL 2,CHANCE,EFFECT TARGET,EFFECT DESCRIPTION                                                                                                                           ,MOVE DESCRIPTION
346    ,       ,WATER_SPORT   ,Water Sport   ,III       ,Water   ,Status  ,Cute     ,15,—    ,100%    ,ALL         ,0       ,           ,arena           ,                                ,water      ,5    ,        ,     ,      ,             ,Weakens the power of Fire-type moves.                                                                                                        ,
219    ,       ,SAFEGUARD     ,Safeguard     ,II        ,Normal  ,Status  ,Beautiful,25,—    ,—       ,ANY_ALLY    ,0       ,d          ,arena           ,                                ,safeguard  ,5    ,        ,     ,      ,self         ,User's party is protected from status conditions.                                                                                            ,
201    ,       ,SANDSTORM     ,Sandstorm     ,II        ,Rock    ,Status  ,Tough    ,10,—    ,—       ,ALL         ,0       ,           ,arena           ,                                ,sandstorm  ,5    ,        ,     ,      ,             ,Creates a sandstorm for 5 turns.                                                                                                             ,
26     ,       ,JUMP_KICK     ,Jump Kick     ,I         ,Fighting,Physical,Cool     ,10,70   ,95%     ,ANY_ADJ     ,0       ,a b e f    ,jump_kick       ,                                ,           ,     ,        ,     ,      ,             ,"If it misses, the user crashes and loses HP equal to 1/2 the damage of the attack."                                                         ,
190    ,       ,OCTAZOOKA     ,Octazooka     ,II        ,Water   ,Special ,Tough    ,10,65   ,85%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,acc        ,-1   ,        ,     ,0.5   ,target       ,May lower opponent's Accuracy.                                                                                                               ,
330    ,       ,MUDDY_WATER   ,Muddy Water   ,III       ,Water   ,Special ,Tough    ,10,90   ,90%     ,ALL_ADJ_FOE ,0       ,b f        ,attack          ,                                ,acc        ,-1   ,        ,     ,0.3   ,target       ,May lower opponent's Accuracy.                                                                                                               ,
189    ,       ,MUD_SLAP      ,Mud Slap      ,II        ,Ground  ,Special ,Cute     ,10,20   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,acc        ,-1   ,        ,     ,1     ,target       ,Lowers opponent's Accuracy.                                                                                                                  ,
318    ,       ,SILVER_WIND   ,Silver Wind   ,III       ,Bug     ,Special ,Beautiful,5 ,60   ,100%    ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,all        ,1    ,        ,     ,0.1   ,user         ,May raise all user's stats at once.                                                                                                          ,
246    ,       ,ANCIENT_POWER ,Ancient Power ,II        ,Rock    ,Special ,Tough    ,5 ,60   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,all        ,1    ,        ,     ,0.1   ,user         ,May raise all user's stats at once.                                                                                                          ,
309    ,       ,METEOR_MASH   ,Meteor Mash   ,III       ,Steel   ,Physical,Cool     ,10,90   ,90%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,atk        ,1    ,        ,     ,0.2   ,user         ,May raise user's Attack.                                                                                                                     ,
232    ,       ,METAL_CLAW    ,Metal Claw    ,II        ,Steel   ,Physical,Cool     ,35,50   ,95%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,atk        ,1    ,        ,     ,0.1   ,user         ,May raise user's Attack.                                                                                                                     ,
126    ,       ,FIRE_BLAST    ,Fire Blast    ,I         ,Fire    ,Special ,Beautiful,5 ,120  ,85%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,burn       ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
299    ,       ,BLAZE_KICK    ,Blaze Kick    ,III       ,Fire    ,Physical,Cool     ,10,85   ,90%     ,ANY_ADJ     ,0       ,a b e h    ,attack          ,                                ,burn       ,     ,        ,     ,0.1   ,target       ,High critical hit ratio. May burn opponent.                                                                                                  ,
257    ,       ,HEAT_WAVE     ,Heat Wave     ,III       ,Fire    ,Special ,Beautiful,10,90   ,90%     ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,burn       ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
221    ,       ,SACRED_FIRE   ,Sacred Fire   ,II        ,Fire    ,Physical,Beautiful,5 ,100  ,95%     ,ANY_ADJ     ,0       ,b e g      ,attack          ,                                ,burn       ,     ,        ,     ,0.5   ,target       ,May burn opponent.                                                                                                                           ,
52     ,       ,EMBER         ,Ember         ,I         ,Fire    ,Special ,Cute     ,25,40   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,burn       ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
7      ,       ,FIRE_PUNCH    ,Fire Punch    ,I         ,Fire    ,Physical,Tough    ,15,75   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,burn       ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
223    ,       ,DYNAMIC_PUNCH ,Dynamic Punch ,II        ,Fighting,Physical,Cool     ,5 ,100  ,50%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,confuse    ,     ,        ,     ,1     ,target       ,Confuses opponent.                                                                                                                           ,
93     ,       ,CONFUSION     ,Confusion     ,I         ,Psychic ,Special ,Clever   ,25,50   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,confuse    ,     ,        ,     ,0.1   ,target       ,May confuse opponent.                                                                                                                        ,
352    ,       ,WATER_PULSE   ,Water Pulse   ,III       ,Water   ,Special ,Beautiful,20,60   ,100%    ,ANY         ,0       ,b e f      ,attack          ,                                ,confuse    ,     ,        ,     ,0.2   ,target       ,May confuse opponent.                                                                                                                        ,
60     ,       ,PSYBEAM       ,Psybeam       ,I         ,Psychic ,Special ,Beautiful,20,65   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,confuse    ,     ,        ,     ,0.1   ,target       ,May confuse opponent.                                                                                                                        ,
146    ,       ,DIZZY_PUNCH   ,Dizzy Punch   ,I         ,Normal  ,Physical,Cute     ,10,70   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,confuse    ,     ,        ,     ,0.2   ,target       ,May confuse opponent.                                                                                                                        ,
324    ,       ,SIGNAL_BEAM   ,Signal Beam   ,III       ,Bug     ,Special ,Beautiful,15,75   ,100%    ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,confuse    ,     ,        ,     ,0.1   ,target       ,May confuse opponent.                                                                                                                        ,
265    ,       ,SMELLING_SALTS,Smelling Salts,III       ,Normal  ,Physical,Tough    ,10,60   ,100%    ,ANY_ADJ     ,0       ,a b e 4    ,attack          ,                                ,cure       ,4    ,        ,     ,1     ,target       ,"Power doubles if opponent is paralyzed, but cures it."                                                                                      ,
231    ,       ,IRON_TAIL     ,Iron Tail     ,II        ,Steel   ,Physical,Cool     ,15,100  ,75%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,def        ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Defense.                                                                                                                ,
211    ,       ,STEEL_WING    ,Steel Wing    ,II        ,Steel   ,Physical,Cool     ,25,70   ,90%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,def        ,1    ,        ,     ,0.1   ,user         ,May raise user's Defense.                                                                                                                    ,
306    ,       ,CRUSH_CLAW    ,Crush Claw    ,III       ,Normal  ,Physical,Cool     ,10,75   ,95%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,def        ,-1   ,        ,     ,0.5   ,target       ,May lower opponent's Defense.                                                                                                                ,
249    ,       ,ROCK_SMASH    ,Rock Smash    ,II        ,Fighting,Physical,Tough    ,15,30   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,def        ,-1   ,        ,     ,0.5   ,target       ,May lower opponent's Defense.                                                                                                                ,
242    ,       ,CRUNCH        ,Crunch        ,II        ,Dark    ,Physical,Tough    ,15,80   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,def        ,-1   ,        ,     ,0.2   ,target       ,May lower opponent's Defense.                                                                                                                ,
27     ,       ,ROLLING_KICK  ,Rolling Kick  ,I         ,Fighting,Physical,Cool     ,15,60   ,85%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
125    ,       ,BONE_CLUB     ,Bone Club     ,I         ,Ground  ,Physical,Tough    ,20,65   ,85%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,flinch     ,     ,        ,     ,0.1   ,target       ,May cause flinching.                                                                                                                         ,
157    ,       ,ROCK_SLIDE    ,Rock Slide    ,I         ,Rock    ,Physical,Tough    ,10,75   ,90%     ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
158    ,       ,HYPER_FANG    ,Hyper Fang    ,I         ,Normal  ,Physical,Cool     ,15,80   ,90%     ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,1     ,target       ,May cause flinching.                                                                                                                         ,
310    ,       ,ASTONISH      ,Astonish      ,III       ,Ghost   ,Physical,Cute     ,15,30   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
239    ,       ,TWISTER       ,Twister       ,II        ,Dragon  ,Special ,Cool     ,20,40   ,100%    ,ALL_ADJ_FOE ,0       ,b e f kk   ,attack          ,                                ,flinch     ,     ,        ,     ,0.2   ,target       ,May cause flinching. Hits Pokémon using Fly/Bounce with double power.                                                                        ,
173    ,       ,SNORE         ,Snore         ,II        ,Normal  ,Special ,Cute     ,15,50   ,100%    ,ANY_ADJ     ,0       ,b e f i n  ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,Can only be used while sleeping. May cause flinching.                                                                                        ,
44     ,       ,BITE          ,Bite*         ,I         ,Dark    ,Physical,Tough    ,25,60   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
302    ,       ,NEEDLE_ARM    ,Needle Arm    ,III       ,Grass   ,Physical,Clever   ,15,60   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
23     ,       ,STOMP         ,Stomp         ,I         ,Normal  ,Physical,Tough    ,20,65   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
29     ,       ,HEADBUTT      ,Headbutt      ,I         ,Normal  ,Physical,Tough    ,15,70   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,flinch     ,     ,        ,     ,0.3   ,target       ,May cause flinching.                                                                                                                         ,
326    ,       ,EXTRASENSORY  ,Extrasensory  ,III       ,Psychic ,Special ,Cool     ,15,80   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,flinch     ,     ,        ,     ,0.1   ,target       ,May cause flinching.                                                                                                                         ,
127    ,       ,WATERFALL     ,Waterfall     ,I         ,Water   ,Physical,Tough    ,15,80   ,100%    ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,flinch     ,     ,        ,     ,0.2   ,target       ,May cause flinching.                                                                                                                         ,
59     ,       ,BLIZZARD      ,Blizzard      ,I         ,Ice     ,Special ,Beautiful,5 ,110  ,70%     ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May freeze opponent.                                                                                                                         ,
181    ,       ,POWDER_SNOW   ,Powder Snow   ,II        ,Ice     ,Special ,Beautiful,25,40   ,100%    ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May freeze opponent.                                                                                                                         ,
172    ,       ,FLAME_WHEEL   ,Flame Wheel   ,II        ,Fire    ,Physical,Beautiful,25,60   ,100%    ,ANY_ADJ     ,0       ,a b e g    ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
8      ,       ,ICE_PUNCH     ,Ice Punch     ,I         ,Ice     ,Physical,Beautiful,15,75   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May freeze opponent.                                                                                                                         ,
53     ,       ,FLAMETHROWER  ,Flamethrower  ,I         ,Fire    ,Special ,Beautiful,15,90   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May burn opponent.                                                                                                                           ,
58     ,       ,ICE_BEAM      ,Ice Beam      ,I         ,Ice     ,Special ,Beautiful,10,90   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,freeze     ,     ,        ,     ,0.1   ,target       ,May freeze opponent.                                                                                                                         ,
282    ,       ,KNOCK_OFF     ,Knock Off     ,III       ,Dark    ,Physical,Clever   ,20,60   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,knockoff   ,     ,        ,     ,      ,             ,Removes opponent's held item for the rest of the battle.                                                                                     ,
192    ,       ,ZAP_CANNON    ,Zap Cannon    ,II        ,Electric,Special ,Cool     ,5 ,120  ,50%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,paralyze   ,     ,        ,     ,1     ,target       ,Paralyzes opponent.                                                                                                                          ,
87     ,       ,THUNDER       ,Thunder       ,I         ,Electric,Special ,Cool     ,10,120  ,70%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,paralyze   ,     ,        ,     ,0.3   ,target       ,May paralyze opponent. Hits the opponent even when they're in the sky.                                                                       ,
122    ,       ,LICK          ,Lick          ,I         ,Ghost   ,Physical,Cute     ,30,30   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,paralyze   ,     ,        ,     ,0.3   ,target       ,May paralyze opponent.                                                                                                                       ,
84     ,       ,THUNDER_SHOCK ,Thunder Shock ,I         ,Electric,Special ,Cool     ,30,40   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,paralyze   ,     ,        ,     ,0.1   ,target       ,May paralyze opponent.                                                                                                                       ,
225    ,       ,DRAGON_BREATH ,Dragon Breath ,II        ,Dragon  ,Special ,Cool     ,20,60   ,100%    ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,paralyze   ,     ,        ,     ,0.3   ,target       ,May paralyze opponent.                                                                                                                       ,
209    ,       ,SPARK         ,Spark         ,II        ,Electric,Physical,Cool     ,20,65   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,paralyze   ,     ,        ,     ,0.3   ,target       ,May paralyze opponent.                                                                                                                       ,
9      ,       ,THUNDER_PUNCH ,Thunder Punch ,I         ,Electric,Physical,Cool     ,15,75   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,paralyze   ,     ,        ,     ,0.2   ,target       ,May paralyze opponent.                                                                                                                       ,
34     ,       ,BODY_SLAM     ,Body Slam     ,I         ,Normal  ,Physical,Tough    ,15,85   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,paralyze   ,     ,        ,     ,0.3   ,target       ,May paralyze opponent.                                                                                                                       ,
85     ,       ,THUNDERBOLT   ,Thunderbolt   ,I         ,Electric,Special ,Cool     ,15,90   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,paralyze   ,     ,        ,     ,0.1   ,target       ,May paralyze opponent.                                                                                                                       ,
123    ,       ,SMOG          ,Smog          ,I         ,Poison  ,Special ,Tough    ,20,30   ,70%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,poison     ,1    ,        ,     ,0.4   ,target       ,May poison opponent.                                                                                                                         ,
40     ,       ,POISON_STING  ,Poison Sting  ,I         ,Poison  ,Physical,Clever   ,35,15   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,poison     ,1    ,        ,     ,0.3   ,target       ,May poison opponent.                                                                                                                         ,
305    ,       ,POISON_FANG   ,Poison Fang   ,III       ,Poison  ,Physical,Clever   ,15,50   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,poison     ,2    ,        ,     ,0.5   ,target       ,May badly poison opponent.                                                                                                                   ,
342    ,       ,POISON_TAIL   ,Poison Tail   ,III       ,Poison  ,Physical,Clever   ,25,50   ,100%    ,ANY_ADJ     ,0       ,a b e f h  ,attack          ,                                ,poison     ,1    ,        ,     ,0.1   ,target       ,High critical hit ratio. May poison opponent.                                                                                                ,
124    ,       ,SLUDGE        ,Sludge        ,I         ,Poison  ,Special ,Tough    ,20,65   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,poison     ,1    ,        ,     ,0.3   ,target       ,May poison opponent.                                                                                                                         ,
188    ,       ,SLUDGE_BOMB   ,Sludge Bomb   ,II        ,Poison  ,Special ,Tough    ,10,90   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,poison     ,1    ,        ,     ,0.3   ,target       ,May poison opponent.                                                                                                                         ,
66     ,       ,SUBMISSION    ,Submission    ,I         ,Fighting,Physical,Cool     ,25,80   ,80%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,recoil     ,4    ,        ,     ,      ,             ,User receives recoil damage.                                                                                                                 ,
36     ,       ,TAKE_DOWN     ,Take Down     ,I         ,Normal  ,Physical,Tough    ,20,90   ,85%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,recoil     ,4    ,        ,     ,      ,             ,User receives recoil damage.                                                                                                                 ,
344    ,       ,VOLT_TACKLE   ,Volt Tackle   ,III       ,Electric,Physical,Cool     ,15,120  ,100%    ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,recoil     ,3    ,paralyze,     ,0.1   ,target       ,User receives recoil damage. May paralyze opponent.                                                                                          ,
38     ,       ,DOUBLE_EDGE   ,Double-Edge   ,I         ,Normal  ,Physical,Tough    ,15,120  ,100%    ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,recoil     ,3    ,        ,     ,      ,             ,User receives recoil damage.                                                                                                                 ,
165    ,       ,STRUGGLE      ,Struggle      ,I         ,Normal  ,Physical,Tough    ,0 ,50   ,100%    ,ANY_ADJ_FOE ,0       ,a b f      ,attack          ,                                ,recoil     ,-1   ,        ,     ,      ,             ,Only usable when all PP are gone. Hurts the user.                                                                                            ,
315    ,       ,OVERHEAT      ,Overheat      ,III       ,Fire    ,Special ,Beautiful,5 ,130  ,90%     ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,spatk      ,-2   ,        ,     ,1     ,user         ,Sharply lowers user's Special Attack.                                                                                                        ,
354    ,       ,PSYCHO_BOOST  ,Psycho Boost  ,III       ,Psychic ,Special ,Clever   ,5 ,140  ,90%     ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,spatk      ,-2   ,        ,     ,1     ,user         ,Sharply lowers user's Special Attack.                                                                                                        ,
296    ,       ,MIST_BALL     ,Mist Ball     ,III       ,Psychic ,Special ,Clever   ,5 ,70   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spatk      ,-1   ,        ,     ,0.5   ,target       ,May lower opponent's Special Attack.                                                                                                         ,
317    ,       ,ROCK_TOMB     ,Rock Tomb     ,III       ,Rock    ,Physical,Clever   ,15,60   ,90%     ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spd        ,-1   ,        ,     ,1     ,target       ,Lowers opponent's Speed.                                                                                                                     ,
341    ,       ,MUD_SHOT      ,Mud Shot      ,III       ,Ground  ,Special ,Tough    ,15,55   ,95%     ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,spd        ,-1   ,        ,     ,1     ,target       ,Lowers opponent's Speed.                                                                                                                     ,
196    ,       ,ICY_WIND      ,Icy Wind      ,II        ,Ice     ,Special ,Beautiful,15,55   ,95%     ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,spd        ,-1   ,        ,     ,1     ,target       ,Lowers opponent's Speed.                                                                                                                     ,
132    ,       ,CONSTRICT     ,Constrict     ,I         ,Normal  ,Physical,Tough    ,35,10   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,spd        ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Speed.                                                                                                                  ,
145    ,       ,BUBBLE        ,Bubble        ,I         ,Water   ,Special ,Cute     ,30,30   ,100%    ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,spd        ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Speed.                                                                                                                  ,
61     ,       ,BUBBLE_BEAM   ,Bubble Beam   ,I         ,Water   ,Special ,Beautiful,20,65   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spd        ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Speed.                                                                                                                  ,
276    ,       ,SUPERPOWER    ,Superpower    ,III       ,Fighting,Physical,Tough    ,5 ,120  ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,spd        ,-1   ,def     ,-1   ,1     ,user         ,Lowers user's Attack and Defense.                                                                                                            ,
51     ,       ,ACID          ,Acid          ,I         ,Poison  ,Special ,Clever   ,30,40   ,100%    ,ALL_ADJ_FOE ,0       ,b e        ,attack          ,                                ,spdef      ,-2   ,        ,     ,0.1   ,target       ,May lower opponent's Special Defense.                                                                                                        ,
62     ,       ,AURORA_BEAM   ,Aurora Beam   ,I         ,Ice     ,Special ,Beautiful,20,65   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spdef      ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Attack.                                                                                                                 ,
295    ,       ,LUSTER_PURGE  ,Luster Purge  ,III       ,Psychic ,Special ,Clever   ,5 ,70   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spdef      ,-1   ,        ,     ,0.5   ,target       ,May lower opponent's Special Defense.                                                                                                        ,
247    ,       ,SHADOW_BALL   ,Shadow Ball   ,II        ,Ghost   ,Special ,Clever   ,15,80   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spdef      ,-1   ,        ,     ,0.2   ,target       ,May lower opponent's Special Defense.                                                                                                        ,
94     ,       ,PSYCHIC       ,Psychic       ,I         ,Psychic ,Special ,Clever   ,10,90   ,100%    ,ANY_ADJ     ,0       ,b e        ,attack          ,                                ,spdef      ,-1   ,        ,     ,0.1   ,target       ,May lower opponent's Special Defense.                                                                                                        ,
168    ,       ,THIEF         ,Thief         ,II        ,Dark    ,Physical,Tough    ,20,60   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,steal_item ,     ,        ,     ,      ,target       ,User steals opponent's item.                                                                                                                 ,
343    ,       ,COVET         ,Covet         ,III       ,Normal  ,Physical,Cute     ,20,60   ,100%    ,ANY_ADJ     ,0       ,a b e      ,attack          ,                                ,steal_item ,     ,        ,     ,      ,target       ,User steals opponent's item.                                                                                                                 ,
21     ,       ,SLAM          ,Slam          ,I         ,Normal  ,Physical,Tough    ,20,80   ,75%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,           ,     ,        ,     ,      ,             ,                                                                                                                                             ,
121    ,       ,EGG_BOMB      ,Egg Bomb      ,I         ,Normal  ,Physical,Cute     ,10,100  ,75%     ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,           ,     ,        ,     ,      ,             ,                                                                                                                                             ,
25     ,       ,MEGA_KICK     ,Mega Kick     ,I         ,Normal  ,Physical,Cool     ,5 ,120  ,75%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,           ,     ,        ,     ,      ,             ,                                                                                                                                             ,
238    ,       ,CROSS_CHOP    ,Cross Chop    ,II        ,Fighting,Physical,Cool     ,5 ,100  ,80%     ,ANY_ADJ     ,0       ,a b e f h  ,attack          ,                                ,           ,     ,        ,     ,      ,             ,High critical hit ratio.                                                                                                                     ,
56     ,       ,HYDRO_PUMP    ,Hydro Pump    ,I         ,Water   ,Special ,Beautiful,5 ,120  ,80%     ,ANY_ADJ     ,0       ,b e f      ,attack          ,                                ,           ,     ,        ,     ,      ,             ,                                                                                                                                             ,
5      ,       ,MEGA_PUNCH    ,Mega Punch    ,I         ,Normal  ,Physical,Tough    ,20,80   ,85%     ,ANY_ADJ     ,0       ,a b e f    ,attack          ,                                ,           ,     ,        ,     ,      ,             ,                                                                                                                                             ,
